ProductID,WarehouseID,StockLevel,MaxStockLevel
P100,W1,196,332
P100,W2,63,118
P100,W3,171,278
P100,W4,86,163
P100,W5,235,296
P100,W6,123,194
P100,W7,170,266
P100,W8,252,333
P100,W9,232,347
P100,W10,195,329
P101,W1,214,270
P101,W2,100,248
P101,W3,264,341
P101,W4,21,122
P101,W5,66,210
P101,W6,125,216
P101,W7,72,217
P101,W8,130,234
P101,W9,33,96
P101,W10,165,309
P102,W1,265,397
P102,W2,246,321
P102,W3,96,218
P102,W4,101,189
P102,W5,29,113
P102,W6,203,261
P102,W7,184,325
P102,W8,196,282
P102,W9,32,179
P102,W10,168,278
P103,W1,36,142
P103,W2,245,337
P103,W3,133,252
P103,W4,101,208
P103,W5,278,367
P103,W6,22,144
P103,W7,121,259
P103,W8,133,203
P103,W9,193,254
P103,W10,120,182
P104,W1,86,172
P104,W2,31,115
P104,W3,257,337
P104,W4,2,94
P104,W5,153,278
P104,W6,53,163
P104,W7,119,174
P104,W8,13,114
P104,W9,156,292
P104,W10,49,160
P105,W1,134,272
P105,W2,288,416
P105,W3,17,76
P105,W4,107,252
P105,W5,79,175
P105,W6,254,370
P105,W7,244,301
P105,W8,206,266
P105,W9,62,174
P105,W10,33,157
P106,W1,194,272
P106,W2,233,381
P106,W3,139,209
P106,W4,206,350
P106,W5,211,354
P106,W6,297,444
P106,W7,76,149
P106,W8,211,273
P106,W9,289,429
P106,W10,85,162
P107,W1,136,241
P107,W2,263,380
P107,W3,58,113
P107,W4,56,175
P107,W5,286,368
P107,W6,184,318
P107,W7,15,147
P107,W8,191,281
P107,W9,139,245
P107,W10,23,86
P108,W1,186,299
P108,W2,18,136
P108,W3,99,191
P108,W4,156,282
P108,W5,52,161
P108,W6,167,229
P108,W7,101,175
P108,W8,200,268
P108,W9,10,103
P108,W10,296,359
P109,W1,78,196
P109,W2,142,193
P109,W3,201,267
P109,W4,277,351
P109,W5,99,189
P109,W6,177,301
P109,W7,243,371
P109,W8,208,312
P109,W9,134,281
P109,W10,274,411
P110,W1,82,186
P110,W2,94,192
P110,W3,193,257
P110,W4,185,332
P110,W5,36,175
P110,W6,30,155
P110,W7,190,289
P110,W8,286,416
P110,W9,157,218
P110,W10,138,230
P111,W1,41,114
P111,W2,153,208
P111,W3,158,267
P111,W4,148,269
P111,W5,19,86
P111,W6,259,393
P111,W7,22,73
P111,W8,250,370
P111,W9,209,284
P111,W10,182,284
P112,W1,265,402
P112,W2,135,213
P112,W3,27,105
P112,W4,128,217
P112,W5,2,149
P112,W6,209,319
P112,W7,173,232
P112,W8,243,378
P112,W9,25,83
P112,W10,293,349
P113,W1,50,162
P113,W2,27,139
P113,W3,212,310
P113,W4,167,223
P113,W5,32,164
P113,W6,281,413
P113,W7,204,285
P113,W8,105,212
P113,W9,156,229
P113,W10,233,330
P114,W1,208,314
P114,W2,127,208
P114,W3,152,266
P114,W4,212,263
P114,W5,30,137
P114,W6,68,171
P114,W7,112,178
P114,W8,109,244
P114,W9,108,164
P114,W10,83,189
P115,W1,214,357
P115,W2,293,343
P115,W3,185,267
P115,W4,135,241
P115,W5,52,152
P115,W6,14,118
P115,W7,182,309
P115,W8,92,168
P115,W9,121,186
P115,W10,203,321
P116,W1,286,364
P116,W2,10,124
P116,W3,222,330
P116,W4,53,106
P116,W5,159,250
P116,W6,20,112
P116,W7,92,178
P116,W8,278,405
P116,W9,9,106
P116,W10,247,334
P117,W1,12,97
P117,W2,9,112
P117,W3,13,139
P117,W4,122,197
P117,W5,217,320
P117,W6,299,445
P117,W7,152,221
P117,W8,69,170
P117,W9,216,357
P117,W10,67,207
P118,W1,26,159
P118,W2,43,184
P118,W3,32,101
P118,W4,3,123
P118,W5,60,118
P118,W6,165,253
P118,W7,54,130
P118,W8,12,64
P118,W9,84,183
P118,W10,140,251
P119,W1,263,385
P119,W2,156,288
P119,W3,266,363
P119,W4,205,264
P119,W5,122,198
P119,W6,27,93
P119,W7,61,182
P119,W8,43,150
P119,W9,235,344
P119,W10,30,150
P120,W1,240,347
P120,W2,286,387
P120,W3,133,227
P120,W4,149,282
P120,W5,253,367
P120,W6,227,318
P120,W7,105,211
P120,W8,156,211
P120,W9,140,227
P120,W10,152,215
P121,W1,122,185
P121,W2,297,366
P121,W3,190,292
P121,W4,30,149
P121,W5,24,118
P121,W6,77,224
P121,W7,179,318
P121,W8,153,294
P121,W9,93,179
P121,W10,8,106
P122,W1,83,184
P122,W2,112,181
P122,W3,6,85
P122,W4,238,373
P122,W5,281,370
P122,W6,223,279
P122,W7,270,374
