ProductID,ProductName,Category,ReorderPoint,HoldingCostPerUnit
P100,Product_1,Packaging,71,20
P101,Product_2,Chemicals,102,19
P102,Product_3,Electronics,51,19
P103,Product_4,Packaging,137,23
P104,Product_5,Packaging,79,16
P105,Product_6,Chemicals,87,24
P106,Product_7,Electronics,51,7
P107,Product_8,Electronics,113,9
P108,Product_9,Packaging,109,23
P109,Product_10,Mechanical,70,11
P110,Product_11,Packaging,82,13
P111,Product_12,Packaging,125,11
P112,Product_13,Packaging,107,22
P113,Product_14,Packaging,71,8
P114,Product_15,Chemicals,138,18
P115,Product_16,Electronics,98,22
P116,Product_17,Chemicals,140,13
P117,Product_18,Chemicals,108,6
P118,Product_19,Chemicals,91,24
P119,Product_20,Packaging,141,19
P120,Product_21,Electronics,76,15
P121,Product_22,Chemicals,94,21
P122,Product_23,Mechanical,112,17
P123,Product_24,Packaging,85,20
P124,Product_25,Electronics,103,14
P125,Product_26,Chemicals,128,22
P126,Product_27,Packaging,95,18
P127,Product_28,Electronics,111,12
P128,Product_29,Chemicals,89,25
P129,Product_30,Mechanical,106,16
P130,Product_31,Packaging,118,19
P131,Product_32,Electronics,72,13
P132,Product_33,Chemicals,135,23
P133,Product_34,Packaging,81,17
P134,Product_35,Mechanical,124,14
P135,Product_36,Electronics,97,11
P136,Product_37,Chemicals,142,20
P137,Product_38,Packaging,88,21
P138,Product_39,Electronics,115,9
P139,Product_40,Chemicals,99,24
P140,Product_41,Packaging,77,16
P141,Product_42,Mechanical,131,15
P142,Product_43,Electronics,108,12
P143,Product_44,Chemicals,119,22
P144,Product_45,Packaging,93,18
P145,Product_46,Electronics,126,10
P146,Product_47,Chemicals,104,23
P147,Product_48,Packaging,82,19
P148,Product_49,Mechanical,137,17
P149,Product_50,Electronics,74,14
P150,Product_51,Chemicals,128,21
P151,Product_52,Packaging,91,20
P152,Product_53,Electronics,109,13
P153,Product_54,Chemicals,115,24
P154,Product_55,Packaging,87,16
P155,Product_56,Mechanical,121,15
P156,Product_57,Electronics,94,11
P157,Product_58,Chemicals,139,22
P158,Product_59,Packaging,79,18
P159,Product_60,Electronics,112,12
P160,Product_61,Chemicals,106,25
P161,Product_62,Packaging,83,17
P162,Product_63,Mechanical,133,16
P163,Product_64,Electronics,98,10
P164,Product_65,Chemicals,127,23
P165,Product_66,Packaging,92,19
P166,Product_67,Electronics,118,13
P167,Product_68,Chemicals,101,21
P168,Product_69,Packaging,76,17
P169,Product_70,Mechanical,129,14
P170,Product_71,Electronics,85,12
P171,Product_72,Chemicals,122,24
P172,Product_73,Packaging,89,16
P173,Product_74,Electronics,107,11
P174,Product_75,Chemicals,113,22
P175,Product_76,Packaging,81,18
P176,Product_77,Mechanical,136,15
P177,Product_78,Electronics,96,13
P178,Product_79,Chemicals,125,20
P179,Product_80,Packaging,86,19
P180,Product_81,Electronics,110,12
P181,Product_82,Chemicals,102,25
P182,Product_83,Packaging,78,16
P183,Product_84,Mechanical,128,17
P184,Product_85,Electronics,99,14
P185,Product_86,Chemicals,116,23
P186,Product_87,Packaging,84,18
P187,Product_88,Electronics,120,10
P188,Product_89,Chemicals,105,21
P189,Product_90,Packaging,90,17
P190,Product_91,Mechanical,132,15
P191,Product_92,Electronics,73,13
P192,Product_93,Chemicals,126,22
P193,Product_94,Packaging,80,19
P194,Product_95,Electronics,114,12
P195,Product_96,Chemicals,111,24
P196,Product_97,Packaging,75,16
P197,Product_98,Mechanical,135,14
P198,Product_99,Electronics,100,11
P199,Product_100,Chemicals,123,23
P200,Product_101,Packaging,88,20
