SaleDate,ProductID,WarehouseID,UnitsSold,Revenue
2024-12-24,P131,W2,11,6039
2024-08-14,P147,W8,34,16014
2025-01-18,P169,W5,29,11194
2025-11-03,P162,W9,10,6930
2025-04-22,P140,W3,44,55396
2025-08-26,P193,W8,28,38584
2024-02-18,P158,W4,8,984
2024-11-27,P197,W3,7,9499
2025-01-18,P156,W5,34,55046
2024-09-20,P126,W1,4,2276
2025-01-12,P123,W3,12,16668
2024-06-01,P171,W1,48,28464
2024-03-02,P137,W10,43,102082
2025-11-16,P143,W5,31,69626
2025-06-23,P130,W10,13,29224
2024-11-12,P103,W3,36,25236
2025-06-07,P149,W7,9,4221
2024-03-07,P148,W1,24,30264
2024-09-21,P198,W7,47,67586
2024-12-18,P109,W5,9,3411
2024-02-23,P145,W10,12,25284
2025-11-21,P177,W1,13,1508
2025-10-05,P116,W2,35,61600
2025-01-22,P111,W3,20,7980
2024-09-20,P162,W5,22,44682
2025-03-20,P141,W1,40,55040
2024-02-06,P136,W4,21,51513
2025-04-01,P102,W10,9,22194
2025-06-03,P178,W3,12,17340
2024-09-29,P191,W8,3,6291
2025-11-13,P153,W10,10,16160
2024-05-12,P112,W9,5,2650
2025-07-31,P194,W9,3,2247
2024-06-03,P130,W1,31,17453
2025-04-08,P180,W1,35,62790
2024-02-25,P162,W10,41,89175
2025-09-20,P197,W7,22,3014
2025-02-21,P181,W4,20,38940
2025-12-25,P172,W3,47,81451
2025-04-29,P196,W2,24,40776
2024-08-09,P134,W3,35,62405
2025-07-13,P151,W9,14,16338
2025-07-23,P134,W8,17,31110
2024-11-07,P176,W2,17,35615
2024-05-30,P172,W1,38,80028
2025-01-05,P150,W2,24,36000
2025-04-24,P147,W5,7,2380
2024-04-23,P124,W6,16,22912
2024-08-11,P190,W6,37,83583
2025-05-21,P144,W7,20,32560
2025-11-18,P133,W8,28,27524
2025-09-29,P126,W9,25,62400
2024-09-29,P197,W7,37,13172
2024-06-01,P169,W4,35,66605
2025-03-12,P114,W3,18,22140
2024-03-18,P105,W8,45,91620
2024-04-11,P111,W3,32,19680
2024-05-15,P191,W6,33,30657
2025-10-04,P103,W2,16,8464
2024-04-13,P162,W3,42,24780
2024-08-23,P103,W5,33,67617
2025-02-23,P129,W5,36,20700
2024-11-07,P147,W2,17,40239
2025-08-12,P179,W8,3,4665
2024-12-01,P117,W6,9,17685
2024-04-03,P186,W10,28,7896
2024-07-03,P174,W2,8,8800
2025-04-11,P117,W9,21,15855
2024-10-06,P123,W7,47,101097
2025-01-16,P172,W3,27,30267
2025-04-04,P143,W9,20,42500
2024-11-28,P180,W6,44,79596
2025-01-16,P149,W2,6,9540
2025-11-01,P155,W1,18,43578
2025-04-25,P120,W1,49,57673
2024-06-07,P139,W10,9,5868
2024-10-29,P190,W5,18,17478
2025-01-13,P170,W6,40,13200
2024-05-09,P138,W5,33,24882
2025-06-04,P150,W8,29,58348
2025-09-13,P161,W1,7,7602
2025-12-20,P104,W10,13,14014
2025-01-12,P195,W3,3,1929
2025-04-03,P125,W5,43,41581
2025-08-14,P104,W4,45,7830
2024-04-11,P154,W7,11,17732
2024-01-26,P144,W9,42,9828
2024-10-07,P135,W10,28,13160
2024-07-03,P151,W2,48,70608
2025-06-10,P146,W1,49,113239
2024-06-17,P151,W4,23,28727
2024-04-20,P176,W5,8,11328
2024-09-17,P197,W3,48,113760
2024-08-19,P149,W2,38,4940
2024-11-25,P191,W3,13,13988
2024-07-10,P184,W2,25,61600
2024-08-18,P105,W3,42,31626
2024-06-13,P150,W6,16,36320
2025-05-05,P113,W2,12,6240
2025-05-22,P190,W5,31,76942
2025-05-01,P178,W1,32,55616
2025-07-20,P132,W5,34,16218
2024-04-05,P130,W3,2,4878
2024-04-12,P127,W2,44,108240
2024-12-04,P109,W9,39,7683
2025-04-10,P171,W10,41,6888
2024-09-02,P168,W7,13,11180
2025-03-29,P169,W8,29,66961
2024-06-04,P151,W10,20,33440
2025-04-17,P140,W3,3,2268
2025-10-23,P140,W5,34,77894
2025-07-09,P146,W5,35,10780
2025-12-30,P166,W1,10,2660
2025-08-11,P183,W4,2,3246
2025-10-08,P110,W8,38,44726
2024-01-10,P107,W5,6,14394
2025-05-11,P188,W7,31,62465
2025-01-11,P110,W3,36,43164
2025-12-06,P193,W7,8,18432
2025-05-10,P178,W4,26,32058
2025-11-03,P144,W1,45,35955
2025-07-08,P181,W5,44,13640
2024-04-10,P135,W4,20,24800
2025-02-14,P146,W4,33,45243
2025-05-12,P142,W5,47,82673
2024-06-05,P160,W9,39,74373
2024-11-08,P161,W6,38,35834
2025-03-16,P182,W1,18,15156
2025-01-13,P150,W1,33,34023
2024-02-11,P127,W5,41,29848
2025-07-23,P115,W7,23,21988
2024-10-08,P176,W4,42,5544
2024-12-06,P182,W9,38,4180
2025-04-07,P100,W5,39,36348
2024-04-17,P150,W1,15,36345
2025-11-03,P115,W1,23,20746
2024-12-07,P169,W3,2,4990
2025-09-01,P135,W8,43,37023
2025-09-30,P113,W2,13,18434
2024-06-10,P150,W1,46,31694
2025-02-01,P164,W5,37,12950
2025-05-17,P188,W10,26,62790
2024-07-24,P177,W8,7,4529
2024-10-30,P173,W1,14,15512
2024-06-16,P159,W4,10,2000
2024-11-28,P107,W10,29,14239
2024-05-27,P165,W3,25,22825
2025-04-19,P141,W4,48,31200
2025-05-10,P179,W4,30,13860
2024-10-01,P182,W3,33,19701
2024-12-30,P127,W8,43,10062
2024-07-07,P124,W3,21,4788
2024-08-07,P192,W8,1,1435
2025-06-19,P185,W5,32,73024
2024-12-14,P134,W10,41,83312
2025-02-18,P173,W6,28,33208
2024-03-06,P119,W3,31,17360
2025-07-15,P149,W7,5,6940
2024-03-01,P160,W6,49,75852
2024-05-11,P135,W10,12,21252
2025-06-24,P125,W1,9,6822
2024-09-05,P147,W3,16,15856
2025-11-12,P127,W4,25,6100
2025-09-22,P185,W1,19,8892
2025-03-16,P148,W6,16,3024
2025-07-29,P113,W4,5,5675
2024-11-06,P174,W7,30,18330
2025-02-05,P200,W10,7,4599
2024-02-08,P100,W10,7,3654
2024-01-26,P149,W5,22,40150
2025-08-27,P144,W7,45,9090
2024-11-29,P185,W6,27,22518
2025-05-10,P198,W2,23,21183
2024-06-11,P192,W7,12,21012
2024-07-23,P103,W6,24,13920
2024-01-28,P120,W8,14,25256
2024-09-14,P169,W1,17,36006
2024-05-20,P123,W1,32,6496
2024-12-28,P173,W4,32,56384
2024-11-13,P132,W1,35,80675
2025-08-25,P164,W4,30,40410
2025-11-23,P138,W9,46,61962
2025-11-05,P176,W5,18,24588
2025-08-01,P180,W8,14,24360
2025-03-15,P100,W4,28,36344
2025-12-27,P187,W3,46,57316
2025-05-19,P144,W5,31,50716
2025-12-29,P117,W6,35,41545
2024-09-23,P164,W9,5,2195
2025-05-08,P155,W7,28,68404
2025-08-30,P133,W10,48,45168
2024-04-10,P133,W8,27,40689
2025-03-30,P167,W4,33,26169
2025-06-23,P193,W1,32,71328
2024-12-17,P136,W8,33,81741
2025-12-20,P196,W4,7,4970
2025-05-03,P136,W6,49,8183
2025-04-22,P102,W1,14,2142
2024-02-01,P102,W5,35,83020
2024-09-12,P188,W4,23,27991
2025-11-02,P127,W1,36,18756
